gd_discipline;gd_discipline_lib;discipline;discipline_lib;sect_disciplinaire;sect_disciplinaire_lib;serie_bac;serie_bac_lib;age_au_bac;age_au_bac_lib;sexe;sexe_lib;mention_bac;mention_bac_lib;cohorte_passage;effectif_neobacheliers_passage;passage_en_l2_1_an;p_passage_en_l2_1_an;redoublement_en_l1;p_redoublement_en_l1;passage_en_l2_2_ans;p_passage_en_l2_2_ans;passage_en_l2_1_2_ans;p_passage_en_l2_1_2_ans;reorientation_en_dut_1_an;p_reorientation_en_dut_1_an;reorientation_en_dut_2_ans;p_reorientation_en_dut_2_ans;reorientation_en_dut;p_reorientation_en_dut;cohorte_reussite;effectif_neobacheliers_reussite;reussite_3_ans;p_reussite_3_ans;reussite_4_ans;p_reussite_4_ans;reussite_3_4_ans;p_reussite_3_4_ans
DSA;Droit, gestion, économie, AES;2;Sciences économiques, gestion;Ensemble;Ensemble;5;BAC technologique hors STMG;R2;En retard de plus d'un an;Ensemble;Ensemble;B;Bien;2014;;;;;;;;;;;;;;;;2012;5.0;2.0;;0.0;;2.0;
LLSH;Lettres, langues et sciences humaines;6;Sciences humaines et sociales;33;Sociologie, démographie;Ensemble;Ensemble;R2;En retard de plus d'un an;1;Homme;P;Passable deuxième groupe;2014;28.0;5.0;;7.0;;1.0;;6.0;;0.0;;0.0;;0.0;;2012;46.0;3.0;6.52;2.0;4.34;5.0;10.86
DSA;Droit, gestion, économie, AES;3;Administration économique et sociale;Ensemble;Ensemble;2;BAC ES;R1;En retard d'un an;Ensemble;Ensemble;A;Très bien;2014;4.0;3.0;;0.0;;0.0;;3.0;;0.0;;0.0;;0.0;;2012;2.0;0.0;;0.0;;0.0;
LLSH;Lettres, langues et sciences humaines;6;Sciences humaines et sociales;34;Sciences de l'éducation;Ensemble;Ensemble;R0;A l'heure ou en avance;2;Femme;D;Passable premier groupe;2014;348.0;248.0;71.26;40.0;11.49;19.0;5.45;267.0;76.72;0.0;0.0;1.0;0.28;1.0;0.28;2012;84.0;52.0;61.9;3.0;3.5700000000000003;55.0;65.47
DSA;Droit, gestion, économie, AES;3;Administration économique et sociale;Ensemble;Ensemble;3;BAC S;R0;A l'heure ou en avance;Ensemble;Ensemble;C;Assez bien;2014;88.0;53.0;60.22;16.0;18.18;9.0;10.22;62.0;70.45;3.0;3.4;0.0;0.0;3.0;3.4;2012;62.0;33.0;53.22;8.0;12.9;41.0;66.12
LLSH;Lettres, langues et sciences humaines;4;Lettres, sciences du langage, arts;Ensemble;Ensemble;1;BAC L;R0;A l'heure ou en avance;Ensemble;Ensemble;B;Bien;2014;829.0;622.0;75.03;90.0;10.85;70.0;8.44;692.0;83.47;9.0;1.08;0.0;0.0;9.0;1.08;2012;573.0;358.0;62.47;62.0;10.82;420.0;73.29
LLSH;Lettres, langues et sciences humaines;4;Lettres, sciences du langage, arts;Ensemble;Ensemble;1;BAC L;R1;En retard d'un an;Ensemble;Ensemble;D;Passable premier groupe;2014;562.0;214.0;38.07;174.0;30.96;72.0;12.81;286.0;50.88;2.0;0.35000000000000003;1.0;0.17;3.0;0.53;2012;670.0;177.0;26.41;80.0;11.94;257.0;38.35
LLSH;Lettres, langues et sciences humaines;4;Lettres, sciences du langage, arts;Ensemble;Ensemble;1;BAC L;R1;En retard d'un an;Ensemble;Ensemble;P;Passable deuxième groupe;2014;254.0;58.0;22.83;96.0;37.79;29.0;11.41;87.0;34.25;0.0;0.0;0.0;0.0;0.0;0.0;2012;355.0;62.0;17.46;34.0;9.57;96.0;27.04
LLSH;Lettres, langues et sciences humaines;4;Lettres, sciences du langage, arts;Ensemble;Ensemble;1;BAC L;R2;En retard de plus d'un an;Ensemble;Ensemble;C;Assez bien;2014;36.0;20.0;55.55;9.0;25.0;5.0;13.88;25.0;69.44;0.0;0.0;0.0;0.0;0.0;0.0;2012;41.0;13.0;31.7;3.0;7.31;16.0;39.02
LLSH;Lettres, langues et sciences humaines;4;Lettres, sciences du langage, arts;Ensemble;Ensemble;2;BAC ES;R2;En retard de plus d'un an;Ensemble;Ensemble;C;Assez bien;2014;5.0;0.0;;4.0;;4.0;;4.0;;0.0;;0.0;;0.0;;2012;9.0;4.0;;1.0;;5.0;
